"TIPO CICLO";"TEST.DI.TENUTA";"TEMPERATURA";"temp.3";"temp.2";"temp.1";"t.9";"t.8";"t.7";"t.6";"t.5";"t.4";"t.32";"t.31";"t.30";"t.3";"t.29";"t.28";"t.27";"t.26";"t.25";"t.24";"t.23";"t.22";"t.21";"t.20";"t.2";"t.19";"t.18";"t.17";"t.16";"t.15";"t.14";"t.13";"t.12";"t.11";"t.10";"t.1";"STERILIZZAZIONE.DINAMICA";"SCARICO";"RISCIACQUO";"PULSANTE.STOP";"PRELEVATO.DA";"NUMERO CICLO";"MISCELAZIONE";"INIZIO CICLO";"FINE.CICLO";"DISINFEZIONE";"DETERSIONE";"CICLO REGOLARE";"CARICO.STERILIZZANTE.2";"CARICO.STERILIZZANTE.1";"CARICO.DETERGENTE";"CARICO.ACQUA";"CAMBIO.TANICA";"ASCIUGATURA";"Allarme.valvole.ingresso.acqua";"Allarme.time.out.scarico.sterilizzante.1";"Allarme.time.out.carico.sterilizzante.1";"Allarme.time.out.carico.acqua";"Allarme.test.di.tenuta";"Allarme.temperatura.minima.acqua";"Allarme.temperatura.massima.acqua";"Allarme.sovrappressione.test.di.tenuta";"Allarme.sensore.giri.spruzzatore";"Allarme.scarico";"Allarme.pressione.minima.test.di.tenuta";"Allarme.pressione.minima.aria";"Allarme.pressione.massima.aria";"Allarme.pressione.acqua";"Allarme.perdita.liquido";"Allarme.canale.7.otturato";"Allarme.canale.7.disconnesso";"Allarme.canale.6.scollegato";"Allarme.canale.6.otturato";"Allarme.canale.5.scollegato";"Allarme.canale.5.otturato";"Allarme.canale.4.scollegato";"Allarme.canale.4.otturato";"Allarme.canale.3.scollegato";"Allarme.canale.3.otturato";"Allarme.canale.2.scollegato";"Allarme.canale.2.otturato";"Allarme.canale.1.scollegato";"Allarme.canale.1.otturato";"Allarme.apertura.vasca";"ALCOOL";"Alarm.spray.arm";"Alarm.selfdisinfection.flow"
"AUTOSANIFICAZIONE";"1";NA;NA;NA;"27";"25";"85";"602";"66";"43";"48";NA;NA;NA;"45";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"20";NA;NA;NA;NA;NA;NA;"1244";"68";"85";"98";"0";NA;"1";"1";NA;"1";"11";"1";"09/03/2016 07:40:21";"1";"1";NA;1;"1";"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"25";"25";"85";"75";"26";"86";"126";"16";NA;NA;NA;"23";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";"122";"39";"85";"75";"26";"85";"607";"42";"49";"50";"0";"1";"1";"1";NA;"1";"12";NA;"09/03/2016 09:43:59";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"24";"24";"85";"75";"27";"85";"126";"16";NA;NA;NA;"23";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";"263";"38";"85";"76";"27";"85";"606";"43";"49";"50";"0";"1";"1";"1";NA;"1";"13";NA;"09/03/2016 10:28:23";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"24";"25";"90";"109";"26";"90";"126";"16";NA;NA;NA;"23";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"63";"359";"38";"90";"110";"25";"90";"606";"42";"50";"49";"0";"1";"1";"1";NA;"1";"14";NA;"09/03/2016 11:25:24";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"23";"24";"90";"144";"26";"90";"144";"16";NA;NA;NA;"23";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"59";"132";"39";"90";"144";"26";"90";"606";"42";"51";"49";"0";"1";"1";"1";NA;"1";"15";NA;"09/03/2016 12:11:26";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;"9";NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"49";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;"1";"1";"16";NA;"09/03/2016 12:50:02";"1";NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"22";"23";"90";"144";"25";"90";"144";"16";NA;NA;NA;"23";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";NA;"16";"143";"27";"27";"90";"606";"42";"49";"53";"0";"1";"1";"1";NA;"1";"17";NA;"09/03/2016 12:52:05";"1";NA;"1";0;"1";"1";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"22";"22";"85";"144";"26";"85";"144";"17";NA;NA;NA;"21";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"61";"115";"39";"85";"144";"26";"85";"607";"42";"48";"51";"0";"1";"1";"1";NA;"1";"18";NA;"09/03/2016 13:24:01";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CALIBRAZIONE";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"40";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;"1";NA;NA;"19";NA;"09/03/2016 14:05:19";NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CALIBRAZIONE";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"40";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;"1";NA;NA;"20";NA;"09/03/2016 14:10:27";NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CALIBRAZIONE";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"40";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;"1";NA;NA;"21";NA;"09/03/2016 14:14:02";NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CALIBRAZIONE";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"39";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;"1";NA;NA;"22";NA;"09/03/2016 14:17:27";NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CALIBRAZIONE";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"40";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;"1";NA;NA;"23";NA;"09/03/2016 14:21:08";NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE VELOCE";"1";NA;NA;NA;"22";"144";"25";"85";"607";"43";"47";NA;NA;NA;"50";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";NA;NA;NA;NA;NA;NA;NA;"65";"39";"85";"0";"1";"1";"1";NA;"1";"24";NA;"09/03/2016 14:25:49";"1";NA;NA;1;"1";"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"23";"23";"85";"144";"25";"85";"144";"17";NA;NA;NA;"22";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";"21";"39";"85";"144";"25";"85";"607";"42";"48";"50";"0";"1";"1";"1";NA;"1";"25";NA;"09/03/2016 15:05:59";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"22";"22";"85";"144";"26";"85";"144";"16";NA;NA;NA;"23";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";"178";"39";"85";"144";"25";"85";"606";"43";"48";"50";"0";"1";"1";"1";NA;"1";"26";NA;"09/03/2016 15:40:13";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AUTOSANIFICAZIONE";"1";NA;NA;NA;"28";"25";"85";"602";"66";"43";"52";NA;NA;NA;"47";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"19";NA;NA;NA;NA;NA;NA;"854";"69";"85";"98";"0";NA;"1";"1";NA;"1";"27";"1";"10/03/2016 07:36:48";"1";"1";NA;1;"1";"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"25";"24";"85";"75";"26";"85";"127";"16";NA;NA;NA;"22";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"55";"36";"39";"85";"75";"25";"85";"607";"42";"49";"52";"0";"1";"1";"1";NA;"1";"28";NA;"10/03/2016 09:39:37";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;NA;"24";"143";"66";"25";"85";"126";"16";NA;NA;NA;"22";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"55";NA;NA;NA;NA;NA;NA;NA;NA;NA;"53";"0";NA;"1";"1";NA;"1";"29";NA;"10/03/2016 10:36:48";"1";NA;"1";0;NA;NA;"1";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;NA;"24";"142";"66";"25";"85";"126";"16";NA;NA;NA;"23";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"55";NA;NA;NA;NA;NA;NA;NA;NA;NA;"43";"0";NA;"1";"1";NA;"1";"30";NA;"10/03/2016 11:13:16";"1";NA;"1";0;NA;NA;"1";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"24";"24";"85";"76";"25";"85";"127";"16";NA;NA;NA;"21";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";"139";"38";"85";"75";"26";"85";"606";"42";"49";"52";"0";"1";"1";"1";NA;"1";"31";NA;"10/03/2016 14:52:13";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"24";"24";"85";"75";"25";"85";"127";"16";NA;NA;NA;"23";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";"804";"39";"85";"75";"26";"85";"606";"43";"48";"51";"0";"1";"1";"1";NA;"1";"32";NA;"10/03/2016 15:35:26";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"24";"25";"85";"75";"25";"85";"126";"17";NA;NA;NA;"21";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"54";"243";"38";"85";"76";"25";"85";"606";"42";"49";"52";"0";"1";"1";"1";NA;"1";"33";NA;"10/03/2016 17:49:46";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AUTOSANIFICAZIONE";"1";NA;NA;NA;"28";"25";"85";"602";"66";"44";"50";NA;NA;NA;"47";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"19";NA;NA;NA;NA;NA;NA;"544";"68";"85";"98";"0";NA;"1";"1";NA;"1";"34";"1";"11/03/2016 07:25:08";"1";"1";NA;1;"1";"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"24";"25";"85";"144";"24";"86";"143";"16";NA;NA;NA;"22";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";"87";"38";"85";"144";"25";"85";"606";"40";"48";"53";"0";"1";"1";"1";NA;"1";"35";NA;"11/03/2016 09:16:21";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;NA;"24";"85";"144";"25";"85";"143";"17";NA;NA;NA;"21";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";NA;NA;NA;"192";"142";"156";"81";"181";"47";"103";"0";NA;"1";"1";"1";"1";"36";NA;"11/03/2016 09:53:38";"1";NA;"1";0;"1";"1";"1";"1";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AUTOSANIFICAZIONE";"1";NA;NA;NA;"29";"25";"85";"601";"67";"42";"47";NA;NA;NA;"46";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"19";NA;NA;NA;NA;NA;NA;"38";"69";"85";"98";"0";NA;"1";"1";NA;"1";"37";"1";"14/03/2016 07:40:27";"1";"1";NA;1;"1";"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"25";"25";"85";"143";"25";"85";"144";"16";NA;NA;NA;"23";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"61";"28";"39";"85";"143";"26";"85";"606";"45";"48";"50";"0";"1";"1";"1";NA;"1";"38";NA;"14/03/2016 09:16:16";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE VELOCE";"1";NA;NA;NA;"24";"144";"25";"85";"606";"43";"47";NA;NA;NA;"46";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";NA;NA;NA;NA;NA;NA;NA;"80";"39";"85";"0";"1";"1";"1";NA;"1";"39";NA;"14/03/2016 09:54:03";"1";NA;NA;1;"1";"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"24";"25";"86";"143";"25";"86";"143";"16";NA;NA;NA;"22";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"59";"166";"39";"85";"143";"25";"85";"607";"42";"48";"49";"0";"1";"1";"1";NA;"1";"40";NA;"14/03/2016 10:40:24";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"24";"25";"85";"144";"25";"85";"143";"17";NA;NA;NA;"21";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";"374";"38";"85";"144";"25";"85";"607";"42";"48";"50";"0";"1";"1";"1";NA;"1";"41";NA;"14/03/2016 12:02:35";"1";NA;"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
