"INIZIO CICLO";"TIPO CICLO";"NUMERO SERIALE";"STRUMENTO";"CATEGORIA";"MATRICOLA";"IDENTIFICATIVO";"OPERATORE";"NUMERO CICLO";"ALLARMI";"testo";"ESITO CICLO"
2016-03-09 10:28:23;"COMPLETE STERILIZATION";"6-0014";"EB-1970K";"BRONCOSCOPIO";"G121045";"23";"E.C.A.";"13";"Nessun allarme rilevato";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s,24°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA (600s,24°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-09 11:25:24;"COMPLETE STERILIZATION";"6-0014";"GF-UCT180";"ECOENDOSCOPIO";"7310076";"18";"E.C.A.";"14";"Nessun allarme rilevato";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s,25°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA (600s,24°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-09 12:11:26;"COMPLETE STERILIZATION";"6-0014";"GIF-XP180N";"GASTROSCOPIO";"2000363";"16";"T.M.";"15";"Nessun allarme rilevato";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s,24°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA (600s,23°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-09 12:50:02;"COMPLETE STERILIZATION";"6-0014";"CF-Q165I";"COLONSCOPIO";"2802043";"12";"G.B.";"16";"Nessun allarme rilevato";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA PULSANTE STOP FINE CICLO CICLO IRREGOLARE";"CICLO IRREGOLARE"
2016-03-09 12:52:05;"COMPLETE STERILIZATION";"6-0014";"CF-Q165I";"COLONSCOPIO";"2802043";"12";"D.M.";"17";"Allarme temperatura minima acqua";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s,23°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA (600s,22°C) SCARICO CARICO ACQUA RISCIACQUO Allarme temperatura minima acqua FINE CICLO CICLO IRREGOLARE";"CICLO IRREGOLARE"
2016-03-09 13:24:01;"COMPLETE STERILIZATION";"6-0014";"CF-Q165I";"COLONSCOPIO";"2802043";"12";"";"18";"Nessun allarme rilevato";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s,22°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA (600s,22°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-09 14:25:49;"FAST STERILIZATION";"6-0014";"GIF-ITQ160";"GASTROSCOPIO";"2801514";"06";"Technical";"24";"Nessun allarme rilevato";"TIPO CICLO: FAST STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA (600s,22°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-09 15:05:59;"COMPLETE STERILIZATION";"6-0014";"CF-Q180AI";"COLONSCOPIO";"2801344";"09";"E.C.A.";"25";"Nessun allarme rilevato";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s,23°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA (600s,23°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-09 15:40:13;"COMPLETE STERILIZATION";"6-0014";"CF-Q180AI";"COLONSCOPIO";"2801343";"10";"E.C.A.";"26";"Nessun allarme rilevato";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s,22°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA (600s,22°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-10 07:36:48;"AUTOSANIFICAZIONE";"6-0014";"0";"0";"";"0";"E.V.";"27";"Nessun allarme rilevato";"TIPO CICLO: AUTOSANIFICAZIONE TEST DI TENUTA CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 MISCELAZIONE DISINFEZIONE (600s,28°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-10 09:39:37;"COMPLETE STERILIZATION";"6-0014";"VNL-1170 K";"LARINGOSCOPIO";"G120201";"21";"B.M.";"28";"Nessun allarme rilevato";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s,24°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA (600s,25°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-10 10:36:48;"COMPLETE STERILIZATION";"6-0014";"FI-10BS";"FIBROSCOPIO";"G111400";"BLOCCO OP.";"B.L.";"29";"Allarme canale 3 otturato";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s,24°C) SCARICO CARICO ACQUA RISCIACQUO Allarme canale 3 otturato FINE CICLO CICLO IRREGOLARE";"CICLO IRREGOLARE"
2016-03-10 11:13:16;"COMPLETE STERILIZATION";"6-0014";"FI-10BS";"FIBROSCOPIO";"G111400";"BLOCCO OP.";"B.L.";"30";"Allarme canale 3 otturato";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s,24°C) SCARICO CARICO ACQUA RISCIACQUO Allarme canale 3 otturato FINE CICLO CICLO IRREGOLARE";"CICLO IRREGOLARE"
2016-03-10 14:52:13;"COMPLETE STERILIZATION";"6-0014";"VNL-1570STK";"LARINGOSCOPIO";"G120029";"20";"B.M.";"31";"Nessun allarme rilevato";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s,24°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA (600s,24°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-10 15:35:26;"COMPLETE STERILIZATION";"6-0014";"VNL-1170 K";"LARINGOSCOPIO";"G120201";"21";"B.L.";"32";"Nessun allarme rilevato";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s,24°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA (600s,24°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-10 17:49:46;"COMPLETE STERILIZATION";"6-0014";"ACCESSORI";"ACCESSORI";"0000";"00";"B.L.";"33";"Nessun allarme rilevato";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s,25°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA (600s,24°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-11 07:25:08;"AUTOSANIFICAZIONE";"6-0014";"0";"0";"";"0";"S.C.";"34";"Nessun allarme rilevato";"TIPO CICLO: AUTOSANIFICAZIONE TEST DI TENUTA CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 MISCELAZIONE DISINFEZIONE (600s,28°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-11 09:16:21;"COMPLETE STERILIZATION";"6-0014";"GIF-Q165";"GASTROSCOPIO";"2804441";"04";"L.Z.";"35";"Nessun allarme rilevato";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s,25°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA (600s,24°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-11 09:53:38;"COMPLETE STERILIZATION";"6-0014";"GIF-Q180";"GASTROSCOPIO";"2800079";"02";"L.Z.";"36";"Nessun allarme rilevato";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s,24°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 CAMBIO TANICA CARICO STERILIZZANTE 2 CAMBIO TANICA PULSANTE STOP FINE CICLO CICLO IRREGOLARE";"CICLO IRREGOLARE"
2016-03-14 07:40:27;"AUTOSANIFICAZIONE";"6-0014";"0";"0";"";"0";"E.C.O.";"37";"Nessun allarme rilevato";"TIPO CICLO: AUTOSANIFICAZIONE TEST DI TENUTA CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 MISCELAZIONE DISINFEZIONE (600s,29°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-14 09:16:16;"COMPLETE STERILIZATION";"6-0014";"GIF-Q180";"GASTROSCOPIO";"2800079";"02";"G.B.";"38";"Nessun allarme rilevato";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s,25°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA (600s,25°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-14 09:54:03;"FAST STERILIZATION";"6-0014";"GIF-ITQ160";"GASTROSCOPIO";"2801514";"06";"G.B.";"39";"Nessun allarme rilevato";"TIPO CICLO: FAST STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA (600s,24°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-14 10:40:24;"COMPLETE STERILIZATION";"6-0014";"GIF-Q180";"GASTROSCOPIO";"2800071";"01";"V.M.L.";"40";"Nessun allarme rilevato";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s,25°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA (600s,24°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-14 12:02:35;"COMPLETE STERILIZATION";"6-0014";"GIF-Q180";"GASTROSCOPIO";"2800079";"02";"G.B.";"41";"Nessun allarme rilevato";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s,25°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA (600s,24°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-14 12:46:58;"COMPLETE STERILIZATION";"6-0014";"CF-Q165I";"COLONSCOPIO";"2802049";"11";"E.V.";"42";"Allarme canale 2 otturato";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s,24°C) Allarme canale 2 otturato FINE CICLO CICLO IRREGOLARE";"CICLO IRREGOLARE"
2016-03-14 13:06:37;"COMPLETE STERILIZATION";"6-0014";"EB-1570K";"BRONCOSCOPIO";"G121641";"22";"E.V.";"43";"Nessun allarme rilevato";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s,24°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA (600s,24°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-14 14:19:11;"COMPLETE STERILIZATION";"6-0014";"GIF-Q180";"GASTROSCOPIO";"2800079";"02";"G.B.";"44";"Nessun allarme rilevato";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s,24°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA (600s,23°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-14 15:16:47;"COMPLETE STERILIZATION";"6-0014";"CF-Q180AI";"COLONSCOPIO";"2801344";"09";"V.M.L.";"45";"Nessun allarme rilevato";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s,24°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA (600s,23°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-15 08:03:41;"AUTOSANIFICAZIONE";"6-0014";"0";"0";"";"0";"D.M.";"47";"Nessun allarme rilevato";"TIPO CICLO: AUTOSANIFICAZIONE TEST DI TENUTA CARICO ACQUA PULSANTE STOP FINE CICLO CICLO IRREGOLARE";"CICLO IRREGOLARE"
2016-03-16 07:24:58;"AUTOSANIFICAZIONE";"6-0014";"0";"0";"";"0";"E.V.";"51";"Nessun allarme rilevato";"TIPO CICLO: AUTOSANIFICAZIONE TEST DI TENUTA CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 MISCELAZIONE DISINFEZIONE (600s,28°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-16 11:14:09;"COMPLETE STERILIZATION";"6-0014";"EB-1970K";"BRONCOSCOPIO";"G121045";"23";"C.G.";"52";"Nessun allarme rilevato";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s,25°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA (600s,25°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-16 11:51:22;"COMPLETE STERILIZATION";"6-0014";"VNL-1170 K";"LARINGOSCOPIO";"G120201";"21";"C.G.";"53";"Nessun allarme rilevato";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s,24°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA (600s,24°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-16 12:57:35;"COMPLETE STERILIZATION";"6-0014";"EB-1570K";"BRONCOSCOPIO";"G121641";"22";"E.C.O.";"54";"Nessun allarme rilevato";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA PULSANTE STOP FINE CICLO CICLO IRREGOLARE";"CICLO IRREGOLARE"
2016-03-16 12:59:32;"COMPLETE STERILIZATION";"6-0014";"EB-1570K";"BRONCOSCOPIO";"G121641";"22";"E.C.O.";"55";"Nessun allarme rilevato";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s,24°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA (600s,24°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-16 13:33:34;"COMPLETE STERILIZATION";"6-0014";"GIF-XP180N";"GASTROSCOPIO";"2000363";"16";"C.G.";"56";"Nessun allarme rilevato";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s,24°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA (600s,23°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-16 14:57:02;"COMPLETE STERILIZATION";"6-0014";"GIF-Q180";"GASTROSCOPIO";"2800071";"01";"C.G.";"57";"Nessun allarme rilevato";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s,24°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA (600s,24°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-16 16:43:01;"COMPLETE STERILIZATION";"6-0014";"ACCESSORI";"ACCESSORI";"0000";"00";"C.G.";"58";"Nessun allarme rilevato";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s,25°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA (600s,25°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-17 07:32:38;"AUTOSANIFICAZIONE";"6-0014";"0";"0";"";"0";"V.M.L.";"59";"Nessun allarme rilevato";"TIPO CICLO: AUTOSANIFICAZIONE TEST DI TENUTA CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 MISCELAZIONE DISINFEZIONE (600s,28°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-17 10:18:07;"COMPLETE STERILIZATION";"6-0014";"VNL-1570STK";"LARINGOSCOPIO";"G120029";"20";"D.M.";"60";"Nessun allarme rilevato";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s,24°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA (600s,25°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-17 10:49:48;"COMPLETE STERILIZATION";"6-0014";"VNL-1170 K";"LARINGOSCOPIO";"G120201";"21";"D.M.";"61";"Nessun allarme rilevato";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s,24°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA (600s,23°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
